condition,detector_overlap,bin_index,screen_position,probability,hit_count
one_slit,,150,20.30150754,0.871551935983694,105
one_slit,,151,20.70351759,0.8667027785844809,121
one_slit,,152,21.10552764,0.8617806490228977,111
one_slit,,153,21.50753769,0.8567867523932816,97
one_slit,,154,21.90954774,0.8517223092641654,127
one_slit,,155,22.31155779,0.8465885552726584,96
one_slit,,156,22.71356784,0.8413867407142999,109
one_slit,,157,23.11557789,0.8361181301285419,112
one_slit,,158,23.51758794,0.8307840018800264,97
one_slit,,159,23.91959799,0.8253856477358146,100
one_slit,,160,24.32160804,0.8199243724387361,101
one_slit,,161,24.72361809,0.8144014932770218,91
one_slit,,162,25.12562814,0.8088183396503876,99
one_slit,,163,25.52763819,0.8031762526327374,93
one_slit,,164,25.92964824,0.7974765845316512,98
one_slit,,165,26.33165829,0.7917206984448323,102
one_slit,,166,26.73366834,0.7859099678136852,98
one_slit,,167,27.13567839,0.7800457759741898,92
one_slit,,168,27.53768844,0.7741295157052529,79
one_slit,,169,27.93969849,0.768162588774704,86
one_slit,,170,28.34170854,0.7621464054831144,93
one_slit,,171,28.74371859,0.7560823842056117,71
one_slit,,172,29.14572864,0.7499719509318671,81
one_slit,,173,29.54773869,0.7438165388044288,84
one_slit,,174,29.94974874,0.7376175876555807,90
one_slit,,175,30.35175879,0.7313765435429038,72
one_slit,,176,30.75376884,0.7250948582837118,72
one_slit,,177,31.15577889,0.718773988988544,89
one_slit,,178,31.55778894,0.7124153975938915,78
one_slit,,179,31.95979899,0.7060205503943306,98
one_slit,,180,32.36180905,0.6995909174138872,82
one_slit,,181,32.7638191,0.6931279725781425,76
one_slit,,182,33.16582915,0.6866331922859817,85
one_slit,,183,33.5678392,0.6801080555800644,80
one_slit,,184,33.96984925,0.6735540435191513,79
one_slit,,185,34.3718593,0.6669726387104141,99
one_slit,,186,34.77386935,0.6603653248423879,71
one_slit,,187,35.1758794,0.6537335862187456,70
one_slit,,188,35.57788945,0.6470789072930665,86
one_slit,,189,35.9798995,0.6404027722047726,76
one_slit,,190,36.38190955,0.6337066643164067,77
one_slit,,191,36.7839196,0.6269920657524222,82
one_slit,,192,37.18592965,0.6202604569396567,80
one_slit,,193,37.5879397,0.6135133161496621,69
one_slit,,194,37.98994975,0.6067521190430524,72
one_slit,,195,38.3919598,0.5999783382160476,58
one_slit,,196,38.79396985,0.5931934427493712,76
one_slit,,197,39.1959799,0.5863988977596718,79
one_slit,,198,39.59798995,0.5795961639536304,71
one_slit,,199,40.0,0.5727866971849187,60
two_slit_coherent,1.0,0,-40.0,0.11019056913190195,23
two_slit_coherent,1.0,1,-39.59798995,0.07956487380653343,8
two_slit_coherent,1.0,2,-39.1959799,0.05334700612829191,7
two_slit_coherent,1.0,3,-38.79396985,0.031997496874354936,5
two_slit_coherent,1.0,4,-38.3919598,0.01593278073115889,0
two_slit_coherent,1.0,5,-37.98994975,0.005519474876145791,0
two_slit_coherent,1.0,6,-37.5879397,0.0010691203135920757,0
two_slit_coherent,1.0,7,-37.18592965,0.00283345746069974,0
two_slit_coherent,1.0,8,-36.7839196,0.011000302355162916,0
two_slit_coherent,1.0,9,-36.38190955,0.02569008382703586,1
two_slit_coherent,1.0,10,-35.9798995,0.04695309510596912,4
two_slit_coherent,1.0,11,-35.57788945,0.07476750569135515,8
two_slit_coherent,1.0,12,-35.1758794,0.1090381709800281,14
two_slit_coherent,1.0,13,-34.77386935,0.1495962682162052,11
two_slit_coherent,1.0,14,-34.3718593,0.19619977790250426,27
two_slit_coherent,1.0,15,-33.96984925,0.24853481999812044,27
two_slit_coherent,1.0,16,-33.5678392,0.30621784414576647,44
two_slit_coherent,1.0,17,-33.16582915,0.36879866293340213,47
two_slit_coherent,1.0,18,-32.7638191,0.4357643069339764,40
two_slit_coherent,1.0,19,-32.36180905,0.506543670102523,60
two_slit_coherent,1.0,20,-31.95979899,0.5805129060458946,59
two_slit_coherent,1.0,21,-31.55778894,0.6570015130279616,84
two_slit_coherent,1.0,22,-31.15577889,0.7352990754759625,87
two_slit_coherent,1.0,23,-30.75376884,0.8146625565363697,101
two_slit_coherent,1.0,24,-30.35175879,0.8943240927526606,88
two_slit_coherent,1.0,25,-29.94974874,0.9734991965617279,131
two_slit_coherent,1.0,26,-29.54773869,1.0513952789180998,114
two_slit_coherent,1.0,27,-29.14572864,1.1272203974511323,133
two_slit_coherent,1.0,28,-28.74371859,1.2001921315294388,162
two_slit_coherent,1.0,29,-28.34170854,1.2695464827094587,152
two_slit_coherent,1.0,30,-27.93969849,1.3345466973310782,152
two_slit_coherent,1.0,31,-27.53768844,1.3944919075285043,182
two_slit_coherent,1.0,32,-27.13567839,1.4487254876703604,201
